dataset,subdataset,filename,name,id
ALGERIA,NA,316_BABARI_ID17_check.png,Babari,316_BABARI_ID17
ALGERIA,NA,317_BABARI_ID18_check.png,Babari,317_BABARI_ID18
ALGERIA,NA,318_BABARI_ID19_check.png,Babari,318_BABARI_ID19
ALGERIA,NA,319_BABARI_ID20_check.png,Babari,319_BABARI_ID20
ALGERIA,NA,320_BABARI_ID21_check.png,Babari,320_BABARI_ID21
ALGERIA,NA,321_BABARI_ID22_check.png,Babari,321_BABARI_ID22
ALGERIA,NA,344_GENOTYPE 3_ID45_check.png,Bouabane des Aures,344_GENOTYPE 3_ID45
ALGERIA,NA,345_GENOTYPE 3_ID46_check.png,Bouabane des Aures,345_GENOTYPE 3_ID46
ALGERIA,NA,348_GENOTYPE 3_ID49_check.png,Bouabane des Aures,348_GENOTYPE 3_ID49
ALGERIA,NA,349_GENOTYPE 3_ID50_check.png,Bouabane des Aures,349_GENOTYPE 3_ID50
ALGERIA,NA,350_GENOTYPE 3_ID51_check.png,Bouabane des Aures,350_GENOTYPE 3_ID51
ALGERIA,NA,351_GENOTYPE 3_ID52_check.png,Bouabane des Aures,351_GENOTYPE 3_ID52
ALGERIA,NA,352_GENOTYPE 3_ID53_check.png,Bouabane des Aures,352_GENOTYPE 3_ID53
ALGERIA,NA,353_GENOTYPE 3_ID54_check.png,Bouabane des Aures,353_GENOTYPE 3_ID54
ALGERIA,NA,354_GENOTYPE 3_ID55_check.png,Bouabane des Aures,354_GENOTYPE 3_ID55
ALGERIA,NA,325_GENOTYPE 1_ID26_check.png,Ichmoul,325_GENOTYPE 1_ID26
ALGERIA,NA,326_GENOTYPE 1_ID27_check.png,Ichmoul,326_GENOTYPE 1_ID27
ALGERIA,NA,327_GENOTYPE 1_ID28_check.png,Ichmoul,327_GENOTYPE 1_ID28
ALGERIA,NA,328_GENOTYPE 1_ID29_check.png,Ichmoul,328_GENOTYPE 1_ID29
ALGERIA,NA,329_GENOTYPE 1_ID30_check.png,Ichmoul,329_GENOTYPE 1_ID30
ALGERIA,NA,330_GENOTYPE 1_ID31_check.png,Ichmoul,330_GENOTYPE 1_ID31
ALGERIA,NA,332_GENOTYPE 1_ID33_check.png,Ichmoul,332_GENOTYPE 1_ID33
ALGERIA,NA,333_GENOTYPE 2_ID34_check.png,Ichmoul Bacha,333_GENOTYPE 2_ID34
ALGERIA,NA,334_GENOTYPE 2_ID35_check.png,Ichmoul Bacha,334_GENOTYPE 2_ID35
ALGERIA,NA,335_GENOTYPE 2_ID36_check.png,Ichmoul Bacha,335_GENOTYPE 2_ID36
ALGERIA,NA,336_GENOTYPE 2_ID37_check.png,Ichmoul Bacha,336_GENOTYPE 2_ID37
ALGERIA,NA,337_GENOTYPE 2_ID38_check.png,Ichmoul Bacha,337_GENOTYPE 2_ID38
ALGERIA,NA,338_GENOTYPE 2_ID39_check.png,Ichmoul Bacha,338_GENOTYPE 2_ID39
ALGERIA,NA,339_GENOTYPE 2_ID40_check.png,Ichmoul Bacha,339_GENOTYPE 2_ID40
ALGERIA,NA,340_GENOTYPE 2_ID41_check.png,Ichmoul Bacha,340_GENOTYPE 2_ID41
ALGERIA,NA,341_GENOTYPE 2_ID42_check.png,Ichmoul Bacha,341_GENOTYPE 2_ID42
ALGERIA,NA,342_GENOTYPE 2_ID43_check.png,Ichmoul Bacha,342_GENOTYPE 2_ID43
ALGERIA,NA,343_GENOTYPE 2_ID44_check.png,Ichmoul Bacha,343_GENOTYPE 2_ID44
ALGERIA,NA,366_LOUALI_ID67_check.png,Louali,366_LOUALI_ID67
ALGERIA,NA,367_LOUALI_ID68_check.png,Louali,367_LOUALI_ID68
ALGERIA,NA,368_LOUALI_ID69_check.png,Louali,368_LOUALI_ID69
ALGERIA,NA,369_LOUALI_ID70_check.png,Louali,369_LOUALI_ID70
ALGERIA,NA,370_LOUALI_ID71_check.png,Louali,370_LOUALI_ID71
ALGERIA,NA,371_LOUALI_ID72_check.png,Louali,371_LOUALI_ID72
ALGERIA,NA,372_LOUALI_ID73_check.png,Louali,372_LOUALI_ID73
ALGERIA,NA,373_LOUALI_ID74_check.png,Louali,373_LOUALI_ID74
ALGERIA,NA,374_LOUALI_ID75_check.png,Louali,374_LOUALI_ID75
ALGERIA,NA,375_LOUALI_ID76_check.png,Louali,375_LOUALI_ID76
ALGERIA,NA,376_LOUALI_ID77_check.png,Louali,376_LOUALI_ID77
ALGERIA,NA,377_TIZI OUININE_ID78_check.png,Tizi Ouinine,377_TIZI OUININE_ID78
ALGERIA,NA,378_TIZI OUININE_ID79_check.png,Tizi Ouinine,378_TIZI OUININE_ID79
ALGERIA,NA,379_TIZI OUININE_ID80_check.png,Tizi Ouinine,379_TIZI OUININE_ID80
ALGERIA,NA,380_TIZI OUININE_ID81_check.png,Tizi Ouinine,380_TIZI OUININE_ID81
ALGERIA,NA,381_TIZI OUININE_ID82_check.png,Tizi Ouinine,381_TIZI OUININE_ID82
ALGERIA,NA,383_TIZI OUININE_ID84_check.png,Tizi Ouinine,383_TIZI OUININE_ID84
ALGERIA,NA,384_TIZI OUININE_ID85_check.png,Tizi Ouinine,384_TIZI OUININE_ID85
ALGERIA,NA,385_TIZI OUININE_ID86_check.png,Tizi Ouinine,385_TIZI OUININE_ID86
ALGERIA,NA,386_TIZI OUININE_ID87_check.png,Tizi Ouinine,386_TIZI OUININE_ID87
ALGERIA,NA,387_TIZI OUININE_ID88_check.png,Tizi Ouinine,387_TIZI OUININE_ID88
PREVIOUS_DATA,MSU,MSU_105_DOGRIDGE.png,Dog Ridge,105_DOGRIDGE
PREVIOUS_DATA,MSU,MSU_106_DOGRIDGE.png,Dog Ridge,106_DOGRIDGE
PREVIOUS_DATA,MSU,MSU_114_O39-16.png,O39-16,114_O39-16
PREVIOUS_DATA,MSU,MSU_100_VITISROMANETII.png,Vitis romanetii,100_VITISROMANETII
PREVIOUS_DATA,MSU,MSU_101_VITISROMANETII.png,Vitis romanetii,101_VITISROMANETII
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_ALICANTEBOUSCHET.png,Alicante Bouschet,000_ALICANTEBOUSCHET
PREVIOUS_DATA,ORIGINAL,ORIGINAL_002_leaf1_wGVIT1627a.png,Ampelopsis aconitifolia,002_leaf1_wGVIT1627a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_013_leaf6_wGVIT1627a.png,Ampelopsis aconitifolia,013_leaf6_wGVIT1627a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_017_leaf9_wGVIT1627a.png,Ampelopsis aconitifolia,017_leaf9_wGVIT1627a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_008_leaf2_wGVIT1626a.png,Ampelopsis glandulosa,008_leaf2_wGVIT1626a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_009_leaf10_wGVIT1626b.png,Ampelopsis glandulosa,009_leaf10_wGVIT1626b
PREVIOUS_DATA,ORIGINAL,ORIGINAL_014_leaf3_588538a.png,Ampelopsis glanduosa,014_leaf3_588538a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_CABERNETSAUVIGNON.png,Cabernet Sauvignon,000_CABERNETSAUVIGNON
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_CHARDONNAY.png,Chardonnay,000_CHARDONNAY
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_CHASSELASCIOUTAT.png,Chasselas Cioutat,000_CHASSELASCIOUTAT
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_FLAMETOKAY.png,Flame Tokay,000_FLAMETOKAY
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_PINOTNOIR.png,Pinot Noir,000_PINOTNOIR
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_SYLVANER.png,Sylvaner,000_SYLVANER
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_SYRAH.png,Syrah,000_SYRAH
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISACERIFOLIA.png,Vitis acerifolia,000_VITISACERIFOLIA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_034_leaf1_588393a.png,Vitis acerifolia,034_leaf1_588393a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_035_leaf2_588393a.png,Vitis acerifolia,035_leaf2_588393a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_036_leaf3_588393a.png,Vitis acerifolia,036_leaf3_588393a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_037_leaf4_588393a.png,Vitis acerifolia,037_leaf4_588393a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISAESTIVALIS.png,Vitis aestivalis,000_VITISAESTIVALIS
PREVIOUS_DATA,ORIGINAL,ORIGINAL_046_leaf1_483138a.png,Vitis aestivalis,046_leaf1_483138a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_047_leaf2_483138a.png,Vitis aestivalis,047_leaf2_483138a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_048_leaf3_483138a.png,Vitis aestivalis,048_leaf3_483138a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_049_leaf4_483138a.png,Vitis aestivalis,049_leaf4_483138a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISAMURENSIS.png,Vitis amurensis,000_VITISAMURENSIS
PREVIOUS_DATA,ORIGINAL,ORIGINAL_038_leaf1_588631a.png,Vitis amurensis,038_leaf1_588631a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_039_leaf2_588631a.png,Vitis amurensis,039_leaf2_588631a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_040_leaf3_588631a.png,Vitis amurensis,040_leaf3_588631a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_041_leaf4_588631a.png,Vitis amurensis,041_leaf4_588631a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISCINEREA.png,Vitis cinerea,000_VITISCINEREA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_018_leaf1_588154a.png,Vitis cinerea,018_leaf1_588154a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_019_leaf2_588154a.png,Vitis cinerea,019_leaf2_588154a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_020_leaf3_588154a.png,Vitis cinerea,020_leaf3_588154a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_021_leaf4_588154a.png,Vitis cinerea,021_leaf4_588154a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISCOIGNETIAE.png,Vitis coignetiae,000_VITISCOIGNETIAE
PREVIOUS_DATA,ORIGINAL,ORIGINAL_050_leaf1_w588451a.png,Vitis coignetiae,050_leaf1_w588451a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_051_leaf2_w588451a.png,Vitis coignetiae,051_leaf2_w588451a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_052_leaf3_w588451a.png,Vitis coignetiae,052_leaf3_w588451a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_053_leaf4_w588451a.png,Vitis coignetiae,053_leaf4_w588451a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISLABRUSCA.png,Vitis labrusca,000_VITISLABRUSCA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_030_leaf1_483146a.png,Vitis labrusca,030_leaf1_483146a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_031_leaf2_483146a.png,Vitis labrusca,031_leaf2_483146a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_032_leaf3_483146a.png,Vitis labrusca,032_leaf3_483146a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_033_leaf4_483146a.png,Vitis labrusca,033_leaf4_483146a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISPALMATA.png,Vitis palmata,000_VITISPALMATA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_054_leaf1_588233a.png,Vitis palmata,054_leaf1_588233a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_055_leaf2_588233a.png,Vitis palmata,055_leaf2_588233a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_056_leaf3_588233a.png,Vitis palmata,056_leaf3_588233a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_057_leaf4_588233a.png,Vitis palmata,057_leaf4_588233a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISPIASEZKII.png,Vitis piasezkii,000_VITISPIASEZKII
PREVIOUS_DATA,ORIGINAL,ORIGINAL_011_leaf11_597257a.png,Vitis piasezkii,011_leaf11_597257a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISRIPARIA.png,Vitis riparia,000_VITISRIPARIA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_015_leaf1_279897a.png,Vitis riparia,015_leaf1_279897a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_026_leaf1_313922a.png,Vitis riparia,026_leaf1_313922a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_027_leaf2_313922a.png,Vitis riparia,027_leaf2_313922a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_028_leaf3_313922a.png,Vitis riparia,028_leaf3_313922a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_029_leaf4_313922a.png,Vitis riparia,029_leaf4_313922a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISRUPESTRIS.png,Vitis rupestris,000_VITISRUPESTRIS
PREVIOUS_DATA,ORIGINAL,ORIGINAL_001_leaf4_588147a.png,Vitis rupestris,001_leaf4_588147a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_003_leaf5_588147a.png,Vitis rupestris,003_leaf5_588147a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_016_leaf9_588174a.png,Vitis rupestris,016_leaf9_588174a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_022_leaf1_588174a.png,Vitis rupestris,022_leaf1_588174a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_023_leaf2_588174a.png,Vitis rupestris,023_leaf2_588174a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_024_leaf3_588174a.png,Vitis rupestris,024_leaf3_588174a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_025_leaf4_588174a.png,Vitis rupestris,025_leaf4_588174a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISTHUNBERGII.png,Vitis thunbergii,000_VITISTHUNBERGII
PREVIOUS_DATA,ORIGINAL,ORIGINAL_007_leaf8_w588055a.png,Vitis thunbergii,007_leaf8_w588055a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_VITISVULPINA.png,Vitis vulpina,000_VITISVULPINA
PREVIOUS_DATA,ORIGINAL,ORIGINAL_006_leaf2_483180a.png,Vitis vulpina,006_leaf2_483180a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_010_leaf2_483186a.png,Vitis vulpina,010_leaf2_483186a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_042_leaf1_483187a.png,Vitis vulpina,042_leaf1_483187a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_043_leaf2_483187a.png,Vitis vulpina,043_leaf2_483187a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_044_leaf3_483187a.png,Vitis vulpina,044_leaf3_483187a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_045_leaf4_483187a.png,Vitis vulpina,045_leaf4_483187a
PREVIOUS_DATA,ORIGINAL,ORIGINAL_000_WHITERIESLING.png,White Riesling,000_WHITERIESLING
PREVIOUS_DATA,UCD,UCD_227_1103P.png,1103P,227_1103P
PREVIOUS_DATA,UCD,UCD_203_1613C.png,1613C,203_1613C
PREVIOUS_DATA,UCD,UCD_225_44-53.png,44-53,225_44-53
PREVIOUS_DATA,UCD,UCD_226_44-53.png,44-53,226_44-53
PREVIOUS_DATA,UCD,UCD_234_5BB.png,5BB,234_5BB
PREVIOUS_DATA,UCD,UCD_235_5BB.png,5BB,235_5BB
PREVIOUS_DATA,UCD,UCD_232_5C.png,5C,232_5C
PREVIOUS_DATA,UCD,UCD_233_5C.png,5C,233_5C
PREVIOUS_DATA,UCD,UCD_242_8B.png,8B,242_8B
PREVIOUS_DATA,UCD,UCD_243_8B.png,8B,243_8B
PREVIOUS_DATA,UCD,UCD_237_ALICANTEBOUSCHET.png,Alicante Bouschet,237_ALICANTEBOUSCHET
PREVIOUS_DATA,UCD,UCD_238_ALICANTEBOUSCHET.png,Alicante Bouschet,238_ALICANTEBOUSCHET
PREVIOUS_DATA,UCD,UCD_228_BARBERA.png,Barbera,228_BARBERA
PREVIOUS_DATA,UCD,UCD_207_BONARDA.png,Bonarda,207_BONARDA
PREVIOUS_DATA,UCD,UCD_208_BONARDA.png,Bonarda,208_BONARDA
PREVIOUS_DATA,UCD,UCD_250_BURGER.png,Burger,250_BURGER
PREVIOUS_DATA,UCD,UCD_211_CABERNETFRANC.png,Cabernet Franc,211_CABERNETFRANC
PREVIOUS_DATA,UCD,UCD_244_CILIEGIOLO.png,Ciliegiolo,244_CILIEGIOLO
PREVIOUS_DATA,UCD,UCD_245_CILIEGIOLO.png,Ciliegiolo,245_CILIEGIOLO
PREVIOUS_DATA,UCD,UCD_219_DOGRIDGE.png,Dog Ridge,219_DOGRIDGE
PREVIOUS_DATA,UCD,UCD_220_DOGRIDGE.png,Dog Ridge,220_DOGRIDGE
PREVIOUS_DATA,UCD,UCD_249_DOGRIDGE.png,Dog Ridge,249_DOGRIDGE
PREVIOUS_DATA,UCD,UCD_246_EMERALDRIESLING.png,Emerald Riesling,246_EMERALDRIESLING
PREVIOUS_DATA,UCD,UCD_215_FOLLEBLANCE.png,Folle Blanche,215_FOLLEBLANCE
PREVIOUS_DATA,UCD,UCD_216_FOLLEBLANCE.png,Folle Blanche,216_FOLLEBLANCE
PREVIOUS_DATA,UCD,UCD_201_MALVASIABIANCA.png,Malvasia Bianca,201_MALVASIABIANCA
PREVIOUS_DATA,UCD,UCD_202_MALVASIABIANCA.png,Malvasia Bianca,202_MALVASIABIANCA
PREVIOUS_DATA,UCD,UCD_239_MARSANNE.png,Marsanne,239_MARSANNE
PREVIOUS_DATA,UCD,UCD_200_MERLOT.png,Merlot,200_MERLOT
PREVIOUS_DATA,UCD,UCD_229_MUSCATOTTONEL.png,Muscat Ottonel,229_MUSCATOTTONEL
PREVIOUS_DATA,UCD,UCD_230_MUSCATOTTONEL.png,Muscat Ottonel,230_MUSCATOTTONEL
PREVIOUS_DATA,UCD,UCD_223_PARELLADA.png,Parellada,223_PARELLADA
PREVIOUS_DATA,UCD,UCD_224_PARELLADA.png,Parellada,224_PARELLADA
PREVIOUS_DATA,UCD,UCD_217_PETITVERDOT.png,Petit Verdot,217_PETITVERDOT
PREVIOUS_DATA,UCD,UCD_218_PETITVERDOT.png,Petit Verdot,218_PETITVERDOT
PREVIOUS_DATA,UCD,UCD_221_RAMSEY.png,Ramsey,221_RAMSEY
PREVIOUS_DATA,UCD,UCD_222_RAMSEY.png,Ramsey,222_RAMSEY
PREVIOUS_DATA,UCD,UCD_240_RIPARIAGLOIRE.png,Riparia Gloire,240_RIPARIAGLOIRE
PREVIOUS_DATA,UCD,UCD_241_RIPARIAGLOIRE.png,Riparia Gloire,241_RIPARIAGLOIRE
PREVIOUS_DATA,UCD,UCD_209_RS-9.png,RS-9,209_RS-9
PREVIOUS_DATA,UCD,UCD_210_RS-9.png,RS-9,210_RS-9
PREVIOUS_DATA,UCD,UCD_231_SIEGERREBE.png,Siegerrebe,231_SIEGERREBE
PREVIOUS_DATA,UCD,UCD_206_SYLVANER.png,Sylvaner,206_SYLVANER
PREVIOUS_DATA,UCD,UCD_236_TANNAT.png,Tannat,236_TANNAT
PREVIOUS_DATA,UCD,UCD_204_TREBBIANO.png,Trebbiano,204_TREBBIANO
PREVIOUS_DATA,UCD,UCD_205_TREBBIANO.png,Trebbiano,205_TREBBIANO
PREVIOUS_DATA,UCD,UCD_212_VALDEPENAS.png,Valdepeñas,212_VALDEPENAS
PREVIOUS_DATA,UCD,UCD_213_VALDEPENAS.png,Valdepeñas,213_VALDEPENAS
PREVIOUS_DATA,UCD,UCD_247_VITISARIZONICA.png,Vitis arizonica,247_VITISARIZONICA
PREVIOUS_DATA,UCD,UCD_248_VITISARIZONICA.png,Vitis arizonica,248_VITISARIZONICA
