index,Label,X,Y
89,ALGERIA_Ichmoul_232_overlay.png,262,152
90,ALGERIA_Ichmoul_232_overlay.png,236.5,485.5
91,ALGERIA_Ichmoul_235_overlay.png,248,144
92,ALGERIA_Ichmoul_235_overlay.png,262.5,480.5
93,ALGERIA_Ichmoul_236_overlay.png,253,147
94,ALGERIA_Ichmoul_236_overlay.png,268.5,480.5
95,ALGERIA_Ichmoul_238_overlay.png,235,140
96,ALGERIA_Ichmoul_238_overlay.png,219.5,484.5
97,ALGERIA_Ichmoul_239_overlay.png,253,146
98,ALGERIA_Ichmoul_239_overlay.png,235.5,492.5
99,ALGERIA_Ichmoul_246_overlay.png,260,165
100,ALGERIA_Ichmoul_246_overlay.png,237.5,492.5
101,ALGERIA_Ichmoul_247_overlay.png,250,145
102,ALGERIA_Ichmoul_247_overlay.png,258.5,477.5
103,ALGERIA_Ichmoul_254_overlay.png,237,145
104,ALGERIA_Ichmoul_254_overlay.png,212.5,506.5
105,ALGERIA_Ichmoul_Bacha_273_overlay.png,248,170
106,ALGERIA_Ichmoul_Bacha_273_overlay.png,253.5,499.5
107,ALGERIA_Ichmoul_Bacha_275_overlay.png,244,135
108,ALGERIA_Ichmoul_Bacha_275_overlay.png,236.5,506.5
109,ALGERIA_Ichmoul_Bacha_277_overlay.png,263,188
110,ALGERIA_Ichmoul_Bacha_277_overlay.png,346.5,481.5
111,ALGERIA_Ichmoul_Bacha_279_overlay.png,247,147
112,ALGERIA_Ichmoul_Bacha_279_overlay.png,258.5,499.5
113,ALGERIA_Ichmoul_Bacha_283_overlay.png,261,128
114,ALGERIA_Ichmoul_Bacha_283_overlay.png,263.5,507.5
115,ALGERIA_Ichmoul_Bacha_284_overlay.png,262,168
116,ALGERIA_Ichmoul_Bacha_284_overlay.png,267.5,500.5
117,ALGERIA_Ichmoul_Bacha_287_overlay.png,267,168
118,ALGERIA_Ichmoul_Bacha_287_overlay.png,234.5,487.5
119,ALGERIA_Ichmoul_Bacha_290_overlay.png,252,138
120,ALGERIA_Ichmoul_Bacha_290_overlay.png,274.5,506.5
121,ALGERIA_Louali_301_overlay.png,246,119
122,ALGERIA_Louali_301_overlay.png,237.5,507.5
123,ALGERIA_Louali_305_overlay.png,239,129
124,ALGERIA_Louali_305_overlay.png,254.5,506.5
125,ALGERIA_Louali_316_overlay.png,257,135
126,ALGERIA_Louali_316_overlay.png,234.5,508.5
127,ALGERIA_Louali_325_overlay.png,262,131
128,ALGERIA_Louali_325_overlay.png,255.5,506.5
129,ALGERIA_Louali_335_overlay.png,248,122
130,ALGERIA_Louali_335_overlay.png,261.5,505.5
131,ALGERIA_Louali_341_overlay.png,269,143
132,ALGERIA_Louali_341_overlay.png,303.5,507.5
133,ALGERIA_Louali_347_overlay.png,254,149
134,ALGERIA_Louali_347_overlay.png,170.5,488.5
135,ALGERIA_Louali_350_overlay.png,257,152
136,ALGERIA_Louali_350_overlay.png,237.5,508.5
137,ALGERIA_Louali_351_overlay.png,245,108
138,ALGERIA_Louali_351_overlay.png,266.5,506.5
139,ALGERIA_Louali_353_overlay.png,251,126
140,ALGERIA_Louali_353_overlay.png,261.5,504.5
141,ALGERIA_Louali_356_overlay.png,255,128
142,ALGERIA_Louali_356_overlay.png,278.5,502.5
143,ALGERIA_Louali_362_overlay.png,268,129
144,ALGERIA_Louali_362_overlay.png,285.5,505.5
145,ALGERIA_Louali_364_overlay.png,261,115
146,ALGERIA_Louali_364_overlay.png,224.5,505.5
147,ALGERIA_Louali_367_overlay.png,243,127
148,ALGERIA_Louali_367_overlay.png,252.5,507.5
149,ALGERIA_Louali_372_overlay.png,266,133
150,ALGERIA_Louali_372_overlay.png,177.5,498.5
151,ALGERIA_Tizi Ouinine_376_overlay.png,248,140
152,ALGERIA_Tizi Ouinine_376_overlay.png,255.5,501.5
153,ALGERIA_Tizi Ouinine_386_overlay.png,267,146
154,ALGERIA_Tizi Ouinine_386_overlay.png,282.5,507.5
155,ALGERIA_Tizi Ouinine_387_overlay.png,243,137
156,ALGERIA_Tizi Ouinine_387_overlay.png,205.5,503.5
157,ALGERIA_Tizi Ouinine_388_overlay.png,247,140
158,ALGERIA_Tizi Ouinine_388_overlay.png,283.5,492.5
159,ALGERIA_Tizi Ouinine_389_overlay.png,248,156
160,ALGERIA_Tizi Ouinine_389_overlay.png,314.5,485.5
161,ALGERIA_Tizi Ouinine_392_overlay.png,240,147
162,ALGERIA_Tizi Ouinine_392_overlay.png,290.5,495.5
163,ALGERIA_Tizi Ouinine_396_overlay.png,258,142
164,ALGERIA_Tizi Ouinine_396_overlay.png,240.5,502.5
165,ALGERIA_Tizi Ouinine_398_overlay.png,246,159
166,ALGERIA_Tizi Ouinine_398_overlay.png,293.5,507.5
167,ALGERIA_Tizi Ouinine_409_overlay.png,251,115
168,ALGERIA_Tizi Ouinine_409_overlay.png,300.5,504.5
169,ALGERIA_Tizi Ouinine_410_overlay.png,297,198
170,ALGERIA_Tizi Ouinine_410_overlay.png,291.5,462.5
171,ALGERIA_Tizi Ouinine_413_overlay.png,251,147
172,ALGERIA_Tizi Ouinine_413_overlay.png,332.5,496.5
173,ALGERIA_Tizi Ouinine_415_overlay.png,254,156
174,ALGERIA_Tizi Ouinine_415_overlay.png,267.5,503.5
175,ALGERIA_Tizi Ouinine_422_overlay.png,263,139
176,ALGERIA_Tizi Ouinine_422_overlay.png,279.5,494.5
177,ALGERIA_Tizi Ouinine_425_overlay.png,248,145
178,ALGERIA_Tizi Ouinine_425_overlay.png,219.5,490.5
179,ALGERIA_Tizi Ouinine_426_overlay.png,252,110
180,ALGERIA_Tizi Ouinine_426_overlay.png,279.5,506.5
181,ALGERIA_Tizi Ouinine_430_overlay.png,254,122
182,ALGERIA_Tizi Ouinine_430_overlay.png,249.5,505.5
183,ALGERIA_Tizi Ouinine_431_overlay.png,253,137
184,ALGERIA_Tizi Ouinine_431_overlay.png,270.5,498.5
185,ALGERIA_Tizi Ouinine_434_overlay.png,273,151
186,ALGERIA_Tizi Ouinine_434_overlay.png,280.5,493.5
187,ALGERIA_Tizi Ouinine_435_overlay.png,265,127
188,ALGERIA_Tizi Ouinine_435_overlay.png,268.5,499.5
189,ALGERIA_Tizi Ouinine_443_overlay.png,236,114
190,ALGERIA_Tizi Ouinine_443_overlay.png,299.5,506.5
191,UCDAVIS_1103P_42_overlay.png,274,424
192,UCDAVIS_1103P_42_overlay.png,297.5,19.5
193,UCDAVIS_110R_863_overlay.png,262,132
194,UCDAVIS_110R_863_overlay.png,255.5,465.5
195,UCDAVIS_110R_886_overlay.png,266,158
196,UCDAVIS_110R_886_overlay.png,286.5,505.5
197,UCDAVIS_1613C_58_overlay.png,257,330
198,UCDAVIS_1613C_58_overlay.png,264.5,9.5
199,UCDAVIS_1616C_480_overlay.png,250,470
200,UCDAVIS_1616C_480_overlay.png,202.5,4.5
201,UCDAVIS_1616C_662_overlay.png,265,480
202,UCDAVIS_1616C_662_overlay.png,275.5,4.5
203,UCDAVIS_3309C_513_overlay.png,244,384
204,UCDAVIS_3309C_513_overlay.png,208.5,5.5
205,UCDAVIS_44-53M_193_overlay.png,421,255
206,UCDAVIS_44-53M_193_overlay.png,8.5,246.5
207,UCDAVIS_44-53M_378_overlay.png,392,250
208,UCDAVIS_44-53M_378_overlay.png,7.5,262.5
209,UCDAVIS_5BB_176_overlay.png,232,398
210,UCDAVIS_5BB_176_overlay.png,249.5,8.5
211,UCDAVIS_5BB_415_overlay.png,211,382
212,UCDAVIS_5BB_415_overlay.png,296.5,4.5
213,UCDAVIS_5BB_86_overlay.png,249,387
214,UCDAVIS_5BB_86_overlay.png,237.5,3.5
215,UCDAVIS_5C_14_overlay.png,226,382
216,UCDAVIS_5C_14_overlay.png,248.5,6.5
217,UCDAVIS_5C_446_overlay.png,286,373
218,UCDAVIS_5C_446_overlay.png,296.5,2.5
219,UCDAVIS_5C_625_overlay.png,248,399
220,UCDAVIS_5C_625_overlay.png,216.5,6.5
221,UCDAVIS_8B_266_overlay.png,413,255
222,UCDAVIS_8B_266_overlay.png,5.5,316.5
223,UCDAVIS_8B_315_overlay.png,408,233
224,UCDAVIS_8B_315_overlay.png,11.5,243.5
225,UCDAVIS_AGLICANICO_472_overlay.png,246,149
226,UCDAVIS_AGLICANICO_472_overlay.png,228.5,498.5
227,UCDAVIS_AGLICANICO_655_overlay.png,254,145
228,UCDAVIS_AGLICANICO_655_overlay.png,195.5,506.5
229,UCDAVIS_AIREN_843_overlay.png,253,375
230,UCDAVIS_AIREN_843_overlay.png,250.5,7.5
231,UCDAVIS_AIREN_916_overlay.png,264,371
232,UCDAVIS_AIREN_916_overlay.png,272.5,5.5
233,UCDAVIS_ALICANTE_BOUSCHET_107_overlay.png,272,328
234,UCDAVIS_ALICANTE_BOUSCHET_107_overlay.png,185.5,35.5
235,UCDAVIS_ALICANTE_BOUSCHET_49_overlay.png,350,268
236,UCDAVIS_ALICANTE_BOUSCHET_49_overlay.png,31.5,229.5
237,UCDAVIS_AXR1_453_overlay.png,237,128
238,UCDAVIS_AXR1_453_overlay.png,194.5,469.5
239,UCDAVIS_AXR1_595_overlay.png,277,130
240,UCDAVIS_AXR1_595_overlay.png,334.5,456.5
241,UCDAVIS_BARBERA_201_overlay.png,257,377
242,UCDAVIS_BARBERA_201_overlay.png,282.5,17.5
243,UCDAVIS_BONARDA_146_overlay.png,258,382
244,UCDAVIS_BONARDA_146_overlay.png,208.5,1.5
245,UCDAVIS_BONARDA_281_overlay.png,266,385
246,UCDAVIS_BONARDA_281_overlay.png,214.5,5.5
247,UCDAVIS_CABERNET_FRANC_348_overlay.png,239,183
248,UCDAVIS_CABERNET_FRANC_348_overlay.png,266.5,505.5
249,UCDAVIS_CARIGNANE_385_overlay.png,268,337
250,UCDAVIS_CARIGNANE_385_overlay.png,148.5,18.5
251,UCDAVIS_CARIGNANE_544_overlay.png,194,317
252,UCDAVIS_CARIGNANE_544_overlay.png,236.5,13.5
253,UCDAVIS_CHARDONNAY_747_overlay.png,266,378
254,UCDAVIS_CHARDONNAY_747_overlay.png,250.5,4.5
255,UCDAVIS_CILIEGIOLO_123_overlay.png,273,401
256,UCDAVIS_CILIEGIOLO_123_overlay.png,217.5,10.5
257,UCDAVIS_CILIEGIOLO_7_overlay.png,263,402
258,UCDAVIS_CILIEGIOLO_7_overlay.png,289.5,8.5
259,UCDAVIS_CINSAULT_401_overlay.png,265,349
260,UCDAVIS_CINSAULT_401_overlay.png,142.5,32.5
261,UCDAVIS_CINSAULT_527_overlay.png,288,353
262,UCDAVIS_CINSAULT_527_overlay.png,239.5,4.5
263,UCDAVIS_CORVINA_VERONSE_804_overlay.png,269,143
264,UCDAVIS_CORVINA_VERONSE_804_overlay.png,309.5,503.5
265,UCDAVIS_COUNOISE_732_overlay.png,246,326
266,UCDAVIS_COUNOISE_732_overlay.png,332.5,16.5
267,UCDAVIS_DOG_RIDGE_114_overlay.png,247,371
268,UCDAVIS_DOG_RIDGE_114_overlay.png,346.5,8.5
269,UCDAVIS_DOG_RIDGE_208_overlay.png,256,392
270,UCDAVIS_DOG_RIDGE_208_overlay.png,293.5,6.5
271,UCDAVIS_DOG_RIDGE_394_overlay.png,249,140
272,UCDAVIS_DOG_RIDGE_394_overlay.png,285.5,498.5
273,UCDAVIS_DOG_RIDGE_499_overlay.png,266,118
274,UCDAVIS_DOG_RIDGE_499_overlay.png,288.5,503.5
275,UCDAVIS_DOG_RIDGE_66_overlay.png,268,366
276,UCDAVIS_DOG_RIDGE_66_overlay.png,241.5,8.5
277,UCDAVIS_DOLCETTO_669_overlay.png,261,358
278,UCDAVIS_DOLCETTO_669_overlay.png,223.5,3.5
279,UCDAVIS_DOLCETTO_794_overlay.png,248,360
280,UCDAVIS_DOLCETTO_794_overlay.png,320.5,5.5
281,UCDAVIS_EARLY_MUSCAT_583_overlay.png,234,109
282,UCDAVIS_EARLY_MUSCAT_583_overlay.png,194.5,491.5
283,UCDAVIS_EARLY_MUSCAT_619_overlay.png,250,109
284,UCDAVIS_EARLY_MUSCAT_619_overlay.png,237.5,504.5
285,UCDAVIS_EMERALD_REISLING_778_overlay.png,286,390
286,UCDAVIS_EMERALD_REISLING_778_overlay.png,242.5,9.5
287,UCDAVIS_EMERALD_REISLING_910_overlay.png,244,368
288,UCDAVIS_EMERALD_REISLING_910_overlay.png,257.5,20.5
289,UCDAVIS_EMERALD_RIESLING_355_overlay.png,245,364
290,UCDAVIS_EMERALD_RIESLING_355_overlay.png,256.5,20.5
291,UCDAVIS_FOLLE_BLANCE_162_overlay.png,252,359
292,UCDAVIS_FOLLE_BLANCE_162_overlay.png,259.5,6.5
293,UCDAVIS_FOLLE_BLANCE_364_overlay.png,259.5,351.5
294,UCDAVIS_FOLLE_BLANCE_364_overlay.png,271.5,3.5
295,UCDAVIS_FURMINT_520_overlay.png,255,339
296,UCDAVIS_FURMINT_520_overlay.png,197.5,5.5
297,UCDAVIS_FURMINT_811_overlay.png,263,348
298,UCDAVIS_FURMINT_811_overlay.png,183.5,34.5
299,UCDAVIS_GRENACHE_NOIR_759_overlay.png,275,124
300,UCDAVIS_GRENACHE_NOIR_759_overlay.png,308.5,508.5
301,UCDAVIS_GRN_3_487_overlay.png,212,364
302,UCDAVIS_GRN_3_487_overlay.png,291.5,4.5
303,UCDAVIS_GRN_3_641_overlay.png,257,406
304,UCDAVIS_GRN_3_641_overlay.png,203.5,4.5
305,UCDAVIS_MALVASIA_BIANCA_216_overlay.png,172,252
306,UCDAVIS_MALVASIA_BIANCA_216_overlay.png,491.5,243.5
307,UCDAVIS_MARSANNE_328_overlay.png,342,281
308,UCDAVIS_MARSANNE_328_overlay.png,8.5,273.5
309,UCDAVIS_MONDEUSE_437_overlay.png,243,392
310,UCDAVIS_MONDEUSE_437_overlay.png,283.5,6.5
311,UCDAVIS_MONDEUSE_603_overlay.png,264,368
312,UCDAVIS_MONDEUSE_603_overlay.png,264.5,4.5
313,UCDAVIS_MUSCAT_OTTONEL_238_overlay.png,269,367
314,UCDAVIS_MUSCAT_OTTONEL_238_overlay.png,293.5,1.5
315,UCDAVIS_MUSCAT_OTTONEL_35_overlay.png,268,357
316,UCDAVIS_MUSCAT_OTTONEL_35_overlay.png,266.5,4.5
317,UCDAVIS_NERO_DAVOLA_832_overlay.png,244,170
318,UCDAVIS_NERO_DAVOLA_832_overlay.png,256.5,505.5
319,UCDAVIS_O39_16_566_overlay.png,282,373
320,UCDAVIS_O39_16_566_overlay.png,223.5,4.5
321,UCDAVIS_PARELLADA_169_overlay.png,336,290
322,UCDAVIS_PARELLADA_169_overlay.png,14.5,301.5
323,UCDAVIS_PARELLADA_371_overlay.png,330,275
324,UCDAVIS_PARELLADA_371_overlay.png,43.5,265.5
325,UCDAVIS_PETIT_VERDOT_291_overlay.png,255,368
326,UCDAVIS_PETIT_VERDOT_291_overlay.png,204.5,7.5
327,UCDAVIS_PINOTAGE_724_overlay.png,250,371
328,UCDAVIS_PINOTAGE_724_overlay.png,248.5,2.5
329,UCDAVIS_PINOTAGE_878_overlay.png,236,383
330,UCDAVIS_PINOTAGE_878_overlay.png,227.5,3.5
331,UCDAVIS_RAMSEY_250_overlay.png,242,396
332,UCDAVIS_RAMSEY_250_overlay.png,176.5,4.5
333,UCDAVIS_RAMSEY_308_overlay.png,261,375
334,UCDAVIS_RAMSEY_308_overlay.png,167.5,3.5
335,UCDAVIS_RIPARIA_GLOIRE_258_overlay.png,399,292
336,UCDAVIS_RIPARIA_GLOIRE_258_overlay.png,4.5,178.5
337,UCDAVIS_RIPARIA_GLOIRE_300_overlay.png,358,276
338,UCDAVIS_RIPARIA_GLOIRE_300_overlay.png,9.5,161.5
339,UCDAVIS_RS-9_224_overlay.png,269,407
340,UCDAVIS_RS-9_224_overlay.png,276.5,7.5
341,UCDAVIS_RS_3_790_overlay.png,252,372
342,UCDAVIS_RS_3_790_overlay.png,218.5,38.5
343,UCDAVIS_RS_3_890_overlay.png,251,367
344,UCDAVIS_RS_3_890_overlay.png,158.5,19.5
345,UCDAVIS_SIEGERREBE_335_overlay.png,253,339
346,UCDAVIS_SIEGERREBE_335_overlay.png,240.5,23.5
347,UCDAVIS_SYLVANER_321_overlay.png,257,356
348,UCDAVIS_SYLVANER_321_overlay.png,227.5,8.5
349,UCDAVIS_SYRAH_678_overlay.png,217,330
350,UCDAVIS_SYRAH_678_overlay.png,441.5,79.5
351,UCDAVIS_SYRAH_839_overlay.png,231,390
352,UCDAVIS_SYRAH_839_overlay.png,243.5,6.5
353,UCDAVIS_TEROLDEGO_705_overlay.png,268,346
354,UCDAVIS_TEROLDEGO_705_overlay.png,306.5,53.5
355,UCDAVIS_TEROLDEGO_798_overlay.png,241,361
356,UCDAVIS_TEROLDEGO_798_overlay.png,239.5,5.5
357,UCDAVIS_THOMPSON_SEEDLESS_408_overlay.png,195,335
358,UCDAVIS_THOMPSON_SEEDLESS_408_overlay.png,361.5,85.5
359,UCDAVIS_THOMPSON_SEEDLESS_573_overlay.png,280,349
360,UCDAVIS_THOMPSON_SEEDLESS_573_overlay.png,290.5,21.5
361,UCDAVIS_TOURIGA_NACIONAL_786_overlay.png,181,275
362,UCDAVIS_TOURIGA_NACIONAL_786_overlay.png,430.5,49.5
363,UCDAVIS_TOURIGA_NACIONAL_896_overlay.png,259,353
364,UCDAVIS_TOURIGA_NACIONAL_896_overlay.png,252.5,8.5
365,UCDAVIS_TREBBIANO_231_overlay.png,255,361
366,UCDAVIS_TREBBIANO_231_overlay.png,269.5,23.5
367,UCDAVIS_V._ACERTIFOLIA_637_overlay.png,288,360
368,UCDAVIS_V._ACERTIFOLIA_637_overlay.png,137.5,2.5
369,UCDAVIS_V._DOANIANA_825_overlay.png,248,417
370,UCDAVIS_V._DOANIANA_825_overlay.png,232.5,5.5
371,UCDAVIS_V._DOANIANA_904_overlay.png,246,399
372,UCDAVIS_V._DOANIANA_904_overlay.png,205.5,6.5
373,UCDAVIS_V._GIRIDIANA_537_overlay.png,257,401
374,UCDAVIS_V._GIRIDIANA_537_overlay.png,281.5,5.5
375,UCDAVIS_V._GIRIDIANA_648_overlay.png,263,386
376,UCDAVIS_V._GIRIDIANA_648_overlay.png,294.5,8.5
377,UCDAVIS_VERDELHO_701_overlay.png,250,361
378,UCDAVIS_VERDELHO_701_overlay.png,241.5,9.5
379,UCDAVIS_VERDELHO_815_overlay.png,258,375
380,UCDAVIS_VERDELHO_815_overlay.png,320.5,5.5
381,UCDAVIS_VESPOLINA_28_overlay.png,269,124
382,UCDAVIS_VESPOLINA_28_overlay.png,231.5,495.5
383,UCDAVIS_VIOGNIER_429_overlay.png,234,359
384,UCDAVIS_VIOGNIER_429_overlay.png,285.5,3.5
385,UCDAVIS_VIOGNIER_728_overlay.png,277,366
386,UCDAVIS_VIOGNIER_728_overlay.png,207.5,9.5
387,UCDAVIS_VITIS_ARIZONICA_273_overlay.png,245,440
388,UCDAVIS_VITIS_ARIZONICA_273_overlay.png,237.5,7.5
389,UCDAVIS_VITIS_ROMANETII_743_overlay.png,249,406
390,UCDAVIS_VITIS_ROMANETII_743_overlay.png,228.5,7.5
391,VINEYARDS_1103P_cab_merced_y2018_2357_overlay.png,336,269
392,VINEYARDS_1103P_cab_merced_y2018_2357_overlay.png,4.5,306.5
393,VINEYARDS_1103P_cab_merced_y2018_2358_overlay.png,336.5,233.5
394,VINEYARDS_1103P_cab_merced_y2018_2358_overlay.png,3.5,201.5
395,VINEYARDS_1103P_cab_merced_y2018_2985_overlay.png,324,244
396,VINEYARDS_1103P_cab_merced_y2018_2985_overlay.png,16.5,282.5
397,VINEYARDS_1103P_cab_merced_y2018_3403_overlay.png,338.5,257.5
398,VINEYARDS_1103P_cab_merced_y2018_3403_overlay.png,11.5,315.5
399,VINEYARDS_1103P_cab_merced_y2018_3412_overlay.png,348,234
400,VINEYARDS_1103P_cab_merced_y2018_3412_overlay.png,4.5,231.5
401,VINEYARDS_1103P_cab_merced_y2018_3825_overlay.png,346,242
402,VINEYARDS_1103P_cab_merced_y2018_3825_overlay.png,5.5,255.5
403,VINEYARDS_1103P_cab_merced_y2019_1611_overlay.png,352,235
404,VINEYARDS_1103P_cab_merced_y2019_1611_overlay.png,1.5,256.5
405,VINEYARDS_1103P_cab_merced_y2019_2096_overlay.png,352,263
406,VINEYARDS_1103P_cab_merced_y2019_2096_overlay.png,2.5,277.5
407,VINEYARDS_1103P_cab_merced_y2019_2097_overlay.png,353,234
408,VINEYARDS_1103P_cab_merced_y2019_2097_overlay.png,4.5,217.5
409,VINEYARDS_1103P_cab_merced_y2019_398_overlay.png,345,252
410,VINEYARDS_1103P_cab_merced_y2019_398_overlay.png,2.5,154.5
411,VINEYARDS_1103P_cab_merced_y2019_570_overlay.png,301,301
412,VINEYARDS_1103P_cab_merced_y2019_570_overlay.png,6.5,144.5
413,VINEYARDS_1103P_cab_merced_y2019_65_overlay.png,345,268
414,VINEYARDS_1103P_cab_merced_y2019_65_overlay.png,5.5,212.5
415,VINEYARDS_1103P_cab_san_joaquin_y2018_3217_overlay.png,343,252
416,VINEYARDS_1103P_cab_san_joaquin_y2018_3217_overlay.png,13.5,247.5
417,VINEYARDS_1103P_cab_san_joaquin_y2018_4352_overlay.png,335,280
418,VINEYARDS_1103P_cab_san_joaquin_y2018_4352_overlay.png,8.5,303.5
419,VINEYARDS_1103P_cab_san_joaquin_y2018_4616_overlay.png,340,238
420,VINEYARDS_1103P_cab_san_joaquin_y2018_4616_overlay.png,1.5,197.5
421,VINEYARDS_1103P_cab_san_joaquin_y2018_4871_overlay.png,346,250
422,VINEYARDS_1103P_cab_san_joaquin_y2018_4871_overlay.png,17.5,390.5
423,VINEYARDS_1103P_cab_san_joaquin_y2019_1012_overlay.png,270,159
424,VINEYARDS_1103P_cab_san_joaquin_y2019_1012_overlay.png,217.5,507.5
425,VINEYARDS_1103P_cab_san_joaquin_y2019_1074_overlay.png,268,153
426,VINEYARDS_1103P_cab_san_joaquin_y2019_1074_overlay.png,273.5,505.5
427,VINEYARDS_1103P_cab_san_joaquin_y2019_1806_overlay.png,344,253
