Scan Name,Population,Seedling Count
16119027,Pop2,100
16119028,Pop2,100
16119029,Pop2,100
16119030,Pop2,100
16119031,Pop2,100
16119032,Pop2,100
16119033,Pop2,100
16119034,Pop2,100
16119035,Pop2,100
16119036,Pop2,100
16119037,Pop2,100
16119038,Pop2,100
16119039,Pop2,100
16119040,Pop2,100
16119041,Pop2,100
16119042,Pop2,100
16119043,Pop2,100
16119044,Pop2,100
16119045,Pop2,100
16119046,Pop2,100
16119047,Pop2,100
16119048,Pop2,100
16119049,Pop2,100
16119050,Pop2,100
16119051,Pop2,100
16119052,Pop2,100
16119053,Pop2,100
16119054,Pop2,100
16119055,Pop2,100
16119056,Pop2,100
16119057,Pop2,100
16119058,Pop2,100
16119059,Pop2,100
16119060,Pop2,100
16119061,Pop2,100
16119062,Pop2,100
16119063,Pop2,100
16119064,Pop2,100
16119065,Pop2,100
16119066,Pop2,100
16119067,Pop2,100
16119068,Pop2,100
16119069,Pop2,100
16119070,Pop2,100
16119071,Pop2,100
16119072,Pop2,100
16119073,Pop2,100
16119074,Pop2,100
16119075,Pop2,100
16119076,Pop2,100
16119077,Pop2,100
16119078,Pop2,100
16119079,Pop2,100
16119080,Pop2,100
16119081,Pop2,100
16119082,Pop2,100
16119083,Pop2,100
16119084,Pop2,100
16119085,Pop2,100
16119086,Pop2,100
16119087,Pop2,100
16119088,Pop2,100
16119089,Pop2,100
16119090,Pop2,100
16119091,Pop2,100
16119092,Pop2,100
16119093,Pop2,100
16119094,Pop2,100
16119095,Pop2,100
16119096,Pop2,100
16119097,Pop2,100
16119098,Pop2,100
16119099,Pop2,100
16119100,Pop2,100
16117001,Pop3,150
16117002,Pop3,150
16117003,Pop3,150
16117004,Pop3,150
16117005,Pop3,150
16117006,Pop3,150
16117007,Pop3,150
16117008,Pop3,150
16117009,Pop3,150
16117010,Pop3,150
16117011,Pop3,150
16117012,Pop3,150
16117013,Pop3,150
16117014,Pop3,150
16117015,Pop3,150
16117016,Pop3,150
16117017,Pop3,150
16117018,Pop3,150
16117019,Pop3,150
16117020,Pop3,150
16117021,Pop3,150
16117022,Pop3,150
16117023,Pop3,150
16117024,Pop3,150
16117025,Pop3,150
16117026,Pop3,150
16117027,Pop3,150
16117028,Pop3,150
16117029,Pop3,150
16117030,Pop3,150
16117031,Pop3,150
16117032,Pop3,150
16117033,Pop3,150
16117034,Pop3,150
16117035,Pop3,150
16117036,Pop3,150
16117037,Pop3,150
16117038,Pop3,150
16117039,Pop3,150
16117040,Pop3,150
16117041,Pop3,150
16117042,Pop3,150
16117043,Pop3,150
16117044,Pop3,150
16117045,Pop3,150
16117046,Pop3,150
16117047,Pop3,150
16117048,Pop3,150
16117049,Pop3,150
16117050,Pop3,150
16117051,Pop3,150
16117052,Pop3,150
16117053,Pop3,150
16117054,Pop3,150
16117055,Pop3,150
16117056,Pop3,150
16117057,Pop3,150
16117058,Pop3,150
16117059,Pop3,150
16117060,Pop3,150
16117061,Pop3,150
16117062,Pop3,150
16117063,Pop3,150
16117064,Pop3,150
16117065,Pop3,150
16117066,Pop3,150
16117067,Pop3,150
16117068,Pop3,150
16117069,Pop3,150
16117070,Pop3,150
16117071,Pop3,150
16117072,Pop3,150
16117073,Pop3,150
16117074,Pop3,150
16117075,Pop3,150
16117076,Pop3,150
16117077,Pop3,150
16117078,Pop3,150
16117079,Pop3,150
16117080,Pop3,150
16117081,Pop3,150
16117082,Pop3,150
16117083,Pop3,150
16117084,Pop3,150
16117085,Pop3,150
16117086,Pop3,150
16117087,Pop3,150
16117088,Pop3,150
16117089,Pop3,150
16117090,Pop3,150
16117091,Pop3,150
16117092,Pop3,150
16117093,Pop3,150
16117094,Pop3,150
16117095,Pop3,150
16117096,Pop3,150
16117097,Pop3,150
16117098,Pop3,150
16117099,Pop3,150
16117100,Pop3,150
16117101,Pop3,150
16117102,Pop3,150
16117103,Pop3,150
16117104,Pop3,150
16117105,Pop3,150
16117106,Pop3,150
16117107,Pop3,150
16117108,Pop3,150
16117109,Pop3,150
16117110,Pop3,150
16117111,Pop3,150
16117112,Pop3,150
16117113,Pop3,150
16117114,Pop3,150
16117115,Pop3,150
16117116,Pop3,150
16117117,Pop3,150
16117118,Pop3,150
16117119,Pop3,150
16117120,Pop3,150
16117121,Pop3,150
16117122,Pop3,150
16117123,Pop3,150
16117124,Pop3,150
16117125,Pop3,150
16117126,Pop3,150
16117127,Pop3,150
16117128,Pop3,150
16117129,Pop3,150
16117130,Pop3,150
16117131,Pop3,150
16117132,Pop3,150
16117133,Pop3,150
16117134,Pop3,150
16117135,Pop3,150
16117136,Pop3,150
16117137,Pop3,150
16117138,Pop3,150
16117139,Pop3,150
16117140,Pop3,150
16117141,Pop3,150
16117142,Pop3,150
16117143,Pop3,150
16117144,Pop3,150
16117145,Pop3,150
16117146,Pop3,150
16117147,Pop3,150
16117148,Pop3,150
16117149,Pop3,150
16117150,Pop3,150
16129001,Pop4,75
16129002,Pop4,75
16129003,Pop4,75
16129004,Pop4,75
16129005,Pop4,75
16129006,Pop4,75
16129007,Pop4,75
16129008,Pop4,75
16129009,Pop4,75
16129010,Pop4,75
16129011,Pop4,75
16129012,Pop4,75
16129013,Pop4,75
16129014,Pop4,75
16129015,Pop4,75
16129016,Pop4,75
16129017,Pop4,75
16129018,Pop4,75
16129019,Pop4,75
16129020,Pop4,75
16129021,Pop4,75
16129022,Pop4,75
16129023,Pop4,75
16129024,Pop4,75
16129025,Pop4,75
16129026,Pop4,75
16129027,Pop4,75
16129028,Pop4,75
16129029,Pop4,75
16129030,Pop4,75
16129031,Pop4,75
16129032,Pop4,75
16129033,Pop4,75
16129034,Pop4,75
16129035,Pop4,75
16129036,Pop4,75
16129037,Pop4,75
16129038,Pop4,75
16129039,Pop4,75
16129040,Pop4,75
16129041,Pop4,75
16129042,Pop4,75
16129043,Pop4,75
16129044,Pop4,75
16129045,Pop4,75
16129046,Pop4,75
16129047,Pop4,75
16129048,Pop4,75
16129049,Pop4,75
16129050,Pop4,75
16129051,Pop4,75
16129052,Pop4,75
16129053,Pop4,75
16129054,Pop4,75
16129055,Pop4,75
16129056,Pop4,75
16129057,Pop4,75
16129058,Pop4,75
16129059,Pop4,75
16129060,Pop4,75
16129061,Pop4,75
16129062,Pop4,75
16129063,Pop4,75
16129064,Pop4,75
16129065,Pop4,75
16129066,Pop4,75
16129067,Pop4,75
16129068,Pop4,75
16129069,Pop4,75
16129070,Pop4,75
16129071,Pop4,75
16129072,Pop4,75
16129073,Pop4,75
16129074,Pop4,75
16129075,Pop4,75
16113001,Pop5,50
16113002,Pop5,50
16113003,Pop5,50
16113004,Pop5,50
16113005,Pop5,50
16113006,Pop5,50
16113007,Pop5,50
16113008,Pop5,50
16113009,Pop5,50
16113010,Pop5,50
16113011,Pop5,50
16113012,Pop5,50
16113013,Pop5,50
16113014,Pop5,50
16113015,Pop5,50
16113016,Pop5,50
16113017,Pop5,50
16113018,Pop5,50
16113019,Pop5,50
16113020,Pop5,50
16113021,Pop5,50
16113022,Pop5,50
16113023,Pop5,50
16113024,Pop5,50
16113025,Pop5,50
16113026,Pop5,50
16113027,Pop5,50
16113028,Pop5,50
16113029,Pop5,50
16113030,Pop5,50
16113031,Pop5,50
16113032,Pop5,50
16113033,Pop5,50
16113034,Pop5,50
16113035,Pop5,50
16113036,Pop5,50
16113037,Pop5,50
16113038,Pop5,50
16113039,Pop5,50
16113040,Pop5,50
16113041,Pop5,50
16113042,Pop5,50
16113043,Pop5,50
16113044,Pop5,50
16113045,Pop5,50
16113046,Pop5,50
16113047,Pop5,50
16113048,Pop5,50
16113049,Pop5,50
16113050,Pop5,50
